t,vwl,vblb,vbl
0.000,0.000,1.000,1.000
12.00E-12,0.000,1.000,1.000
36.00E-12,0.000,1.000,1.000
55.62E-12,0.000,1.000,1.000
94.86E-12,0.000,1.000,1.000
173.4E-12,0.000,1.000,1.000
293.4E-12,0.000,1.000,1.000
413.4E-12,0.000,1.000,1.000
533.4E-12,0.000,1.000,1.000
653.4E-12,0.000,1.000,1.000
773.4E-12,0.000,1.000,1.000
893.4E-12,0.000,1.000,1.000
1.013E-9,0.000,1.000,1.000
1.133E-9,0.000,1.000,1.000
1.253E-9,0.000,1.000,1.000
1.373E-9,0.000,1.000,1.000
1.493E-9,0.000,1.000,1.000
1.613E-9,0.000,1.000,1.000
1.733E-9,0.000,1.000,1.000
1.853E-9,0.000,1.000,1.000
1.973E-9,0.000,1.000,1.000
2.093E-9,0.000,1.000,1.000
2.213E-9,0.000,1.000,1.000
2.307E-9,0.000,1.000,1.000
2.400E-9,0.000,1.000,1.000
2.400E-9,0.000,1.000,1.000
2.400E-9,0.000,1.000,1.000
2.400E-9,0.000,1.000,1.000
2.400E-9,0.000,1.000,1.000
2.400E-9,0.000,1.000,1.000
2.400E-9,0.000,1.000,1.000
2.400E-9,0.000,1.000,1.000
2.401E-9,0.000,1.000,1.000
2.401E-9,0.000,1.000,1.001
2.402E-9,0.000,1.000,1.001
2.402E-9,0.000,1.000,1.001
2.403E-9,0.000,1.001,1.001
2.403E-9,0.000,1.001,1.002
2.403E-9,0.000,1.001,1.002
2.404E-9,0.000,1.001,1.002
2.404E-9,0.000,1.001,1.002
2.405E-9,0.000,1.001,1.002
2.405E-9,0.000,1.001,1.002
2.405E-9,0.000,1.001,1.002
2.405E-9,0.000,1.001,1.002
2.405E-9,0.000,1.001,1.002
2.405E-9,0.000,1.001,1.002
2.406E-9,0.000,1.001,1.002
2.406E-9,0.000,1.001,1.002
2.407E-9,0.000,1.001,1.002
2.410E-9,0.000,1.001,1.002
2.414E-9,0.000,1.001,1.002
2.424E-9,0.000,1.001,1.002
2.437E-9,0.000,1.001,1.002
2.450E-9,0.000,1.001,1.002
2.450E-9,0.000,1.001,1.002
2.450E-9,0.000,1.001,1.002
2.450E-9,0.000,1.001,1.002
2.450E-9,0.000,1.001,1.002
2.450E-9,0.000,1.001,1.002
2.450E-9,0.000,1.001,1.002
2.450E-9,0.000,1.001,1.002
2.451E-9,0.000,1.001,1.002
2.451E-9,0.000,1.001,1.002
2.451E-9,0.000,1.001,1.002
2.451E-9,0.000,1.001,1.002
2.451E-9,0.000,1.001,1.002
2.451E-9,0.000,1.001,1.002
2.451E-9,0.000,1.001,1.002
2.452E-9,0.000,1.001,1.002
2.452E-9,0.000,1.001,1.002
2.452E-9,0.000,1.001,1.002
2.452E-9,0.000,1.001,1.002
2.452E-9,0.000,1.001,1.002
2.453E-9,0.000,1.001,1.002
2.453E-9,0.000,1.001,1.002
