t0,p0,t1,p1
0.000,588.1E-6,0.000,588.1E-6
67.21E-15,568.9E-6,67.21E-15,568.9E-6
115.8E-15,568.5E-6,115.8E-15,568.5E-6
212.9E-15,567.7E-6,212.9E-15,567.8E-6
407.1E-15,566.2E-6,407.1E-15,566.2E-6
634.9E-15,564.5E-6,634.9E-15,564.5E-6
1.009E-12,561.7E-6,1.009E-12,561.7E-6
1.690E-12,556.8E-6,1.690E-12,556.8E-6
3.051E-12,547.8E-6,3.051E-12,547.8E-6
4.276E-12,540.5E-6,4.276E-12,540.6E-6
5.557E-12,533.8E-6,5.557E-12,533.8E-6
6.956E-12,527.2E-6,6.956E-12,527.2E-6
8.450E-12,520.9E-6,8.450E-12,521.0E-6
10.07E-12,515.1E-6,10.07E-12,515.1E-6
11.82E-12,509.5E-6,11.82E-12,509.6E-6
13.72E-12,504.4E-6,13.72E-12,504.5E-6
15.82E-12,499.7E-6,15.82E-12,499.8E-6
18.20E-12,495.4E-6,18.20E-12,495.5E-6
20.87E-12,491.7E-6,20.87E-12,491.7E-6
23.68E-12,488.8E-6,23.68E-12,488.8E-6
26.43E-12,486.6E-6,26.43E-12,486.6E-6
29.07E-12,484.9E-6,29.07E-12,484.9E-6
31.71E-12,483.5E-6,31.71E-12,483.5E-6
34.44E-12,482.2E-6,34.44E-12,482.3E-6
37.35E-12,481.0E-6,37.35E-12,481.1E-6
40.56E-12,479.8E-6,40.56E-12,479.9E-6
44.18E-12,478.6E-6,44.18E-12,478.6E-6
48.35E-12,477.2E-6,48.35E-12,477.2E-6
53.29E-12,475.5E-6,53.29E-12,475.6E-6
59.23E-12,473.6E-6,59.23E-12,473.6E-6
66.82E-12,471.2E-6,66.82E-12,471.2E-6
76.76E-12,468.0E-6,76.76E-12,468.0E-6
90.07E-12,463.6E-6,90.07E-12,463.7E-6
96.53E-12,461.6E-6,96.53E-12,461.6E-6
105.8E-12,458.5E-6,105.8E-12,458.6E-6
110.6E-12,457.0E-6,110.6E-12,457.0E-6
115.6E-12,455.4E-6,115.6E-12,455.5E-6
120.0E-12,454.2E-6,120.0E-12,454.2E-6
123.5E-12,453.4E-6,123.5E-12,453.4E-6
126.6E-12,452.9E-6,126.6E-12,452.9E-6
129.4E-12,452.8E-6,129.4E-12,452.8E-6
132.0E-12,453.0E-6,132.0E-12,453.0E-6
134.4E-12,453.6E-6,134.4E-12,453.6E-6
136.9E-12,454.6E-6,136.9E-12,454.6E-6
139.5E-12,456.0E-6,139.5E-12,456.1E-6
140.6E-12,456.6E-6,140.6E-12,456.6E-6
142.6E-12,457.2E-6,142.6E-12,457.2E-6
144.1E-12,456.9E-6,144.1E-12,456.9E-6
145.2E-12,456.2E-6,145.2E-12,456.2E-6
146.3E-12,455.1E-6,146.3E-12,455.1E-6
147.5E-12,453.7E-6,147.5E-12,453.7E-6
149.4E-12,451.1E-6,149.4E-12,451.1E-6
151.4E-12,448.1E-6,151.4E-12,448.1E-6
152.9E-12,445.6E-6,152.9E-12,445.6E-6
154.5E-12,443.2E-6,154.5E-12,443.2E-6
156.1E-12,440.7E-6,156.1E-12,440.7E-6
157.8E-12,438.1E-6,157.8E-12,438.2E-6
159.7E-12,435.4E-6,159.7E-12,435.4E-6
161.9E-12,432.4E-6,161.9E-12,432.4E-6
164.6E-12,429.1E-6,164.6E-12,429.2E-6
167.9E-12,425.5E-6,167.9E-12,425.5E-6
172.3E-12,421.3E-6,172.3E-12,421.3E-6
176.9E-12,417.6E-6,176.9E-12,417.7E-6
181.6E-12,414.4E-6,181.6E-12,414.5E-6
186.6E-12,411.5E-6,186.6E-12,411.6E-6
192.0E-12,408.8E-6,192.0E-12,408.8E-6
198.0E-12,406.1E-6,198.0E-12,406.1E-6
204.8E-12,403.3E-6,204.8E-12,403.3E-6
212.6E-12,400.3E-6,212.6E-12,400.3E-6
221.8E-12,396.9E-6,221.8E-12,396.9E-6
232.8E-12,392.9E-6,232.8E-12,392.9E-6
246.6E-12,387.8E-6,246.6E-12,387.8E-6
264.7E-12,381.0E-6,264.7E-12,381.1E-6
290.0E-12,371.3E-6,290.0E-12,371.3E-6
325.5E-12,356.8E-6,325.5E-12,356.8E-6
361.3E-12,340.8E-6,361.3E-12,340.8E-6
395.1E-12,324.6E-6,395.1E-12,324.6E-6
430.2E-12,307.1E-6,430.2E-12,307.1E-6
472.8E-12,285.8E-6,472.8E-12,285.8E-6
525.1E-12,260.8E-6,525.1E-12,260.8E-6
574.8E-12,239.2E-6,574.8E-12,239.2E-6
615.6E-12,223.3E-6,615.6E-12,223.3E-6
652.7E-12,210.4E-6,652.7E-12,210.4E-6
689.1E-12,198.9E-6,689.1E-12,198.9E-6
725.6E-12,188.5E-6,725.6E-12,188.5E-6
763.6E-12,178.6E-6,763.6E-12,178.6E-6
804.3E-12,168.9E-6,804.3E-12,168.9E-6
849.1E-12,158.9E-6,849.1E-12,158.9E-6
900.1E-12,148.3E-6,900.1E-12,148.3E-6
960.0E-12,136.3E-6,960.0E-12,136.3E-6
1.032E-9,122.6E-6,1.032E-9,122.6E-6
1.117E-9,107.2E-6,1.117E-9,107.2E-6
1.209E-9,91.56E-6,1.209E-9,91.58E-6
1.301E-9,77.27E-6,1.301E-9,77.29E-6
1.390E-9,64.96E-6,1.390E-9,64.99E-6
1.475E-9,54.53E-6,1.475E-9,54.55E-6
1.557E-9,45.65E-6,1.557E-9,45.67E-6
1.639E-9,38.03E-6,1.639E-9,38.06E-6
1.722E-9,31.47E-6,1.722E-9,31.50E-6
1.807E-9,25.79E-6,1.807E-9,25.82E-6
1.895E-9,20.88E-6,1.895E-9,20.90E-6
1.988E-9,16.63E-6,1.988E-9,16.66E-6
2.088E-9,12.99E-6,2.088E-9,13.02E-6
2.196E-9,9.904E-6,2.196E-9,9.929E-6
2.273E-9,8.148E-6,2.273E-9,8.174E-6
2.350E-9,6.703E-6,2.350E-9,6.728E-6
2.350E-9,123.2E-6,2.350E-9,123.2E-6
2.350E-9,123.4E-6,2.350E-9,123.4E-6
2.350E-9,123.3E-6,2.350E-9,123.3E-6
2.350E-9,123.2E-6,2.350E-9,123.3E-6
2.350E-9,123.1E-6,2.350E-9,123.2E-6
2.350E-9,122.7E-6,2.350E-9,123.0E-6
2.350E-9,122.0E-6,2.350E-9,122.6E-6
2.351E-9,120.5E-6,2.351E-9,121.8E-6
2.351E-9,118.5E-6,2.351E-9,120.2E-6
2.352E-9,115.6E-6,2.351E-9,118.1E-6
2.352E-9,111.1E-6,2.352E-9,115.0E-6
2.353E-9,103.5E-6,2.352E-9,110.0E-6
2.353E-9,91.32E-6,2.353E-9,101.7E-6
2.353E-9,75.78E-6,2.353E-9,88.71E-6
2.354E-9,62.78E-6,2.353E-9,73.11E-6
2.354E-9,56.35E-6,2.354E-9,61.19E-6
2.355E-9,54.11E-6,2.354E-9,55.79E-6
2.355E-9,52.97E-6,2.355E-9,53.91E-6
2.355E-9,22.53E-9,2.355E-9,53.10E-6
2.355E-9,25.95E-9,2.355E-9,47.86E-9
2.355E-9,21.47E-9,2.355E-9,5.680E-9
2.355E-9,21.48E-9,2.355E-9,46.68E-9
2.356E-9,21.48E-9,2.355E-9,46.68E-9
2.356E-9,21.48E-9,2.356E-9,46.68E-9
2.357E-9,21.47E-9,2.356E-9,46.68E-9
2.360E-9,21.47E-9,2.357E-9,46.67E-9
2.364E-9,21.47E-9,2.359E-9,46.67E-9
2.374E-9,21.47E-9,2.363E-9,46.67E-9
2.387E-9,21.47E-9,2.372E-9,46.67E-9
2.400E-9,21.47E-9,2.389E-9,46.67E-9
2.400E-9,3.019E-6,2.400E-9,46.67E-9
2.400E-9,3.013E-6,2.400E-9,2.335E-6
2.400E-9,2.996E-6,2.400E-9,2.319E-6
2.400E-9,2.963E-6,2.400E-9,2.283E-6
2.400E-9,2.904E-6,2.400E-9,2.214E-6
2.400E-9,2.809E-6,2.400E-9,2.084E-6
2.400E-9,2.745E-6,2.400E-9,1.857E-6
2.401E-9,2.736E-6,2.400E-9,1.649E-6
2.401E-9,2.792E-6,2.401E-9,1.491E-6
2.401E-9,2.915E-6,2.401E-9,1.409E-6
2.401E-9,3.100E-6,2.401E-9,1.387E-6
2.401E-9,3.353E-6,2.401E-9,1.417E-6
2.401E-9,3.689E-6,2.401E-9,1.495E-6
2.401E-9,4.122E-6,2.401E-9,1.620E-6
2.402E-9,4.670E-6,2.401E-9,1.809E-6
2.402E-9,5.298E-6,2.402E-9,2.076E-6
2.402E-9,5.266E-6,2.402E-9,2.411E-6
2.402E-9,6.915E-6,2.402E-9,2.810E-6
2.402E-9,7.670E-6,2.402E-9,3.252E-6
2.403E-9,8.662E-6,2.402E-9,3.759E-6
2.403E-9,9.897E-6,2.403E-9,4.307E-6
2.403E-9,11.36E-6,2.403E-9,4.881E-6
2.403E-9,13.11E-6,2.403E-9,5.489E-6
2.404E-9,14.68E-6,2.403E-9,6.089E-6
2.404E-9,16.15E-6,2.404E-9,6.522E-6
2.404E-9,17.56E-6,2.404E-9,6.828E-6
2.405E-9,18.88E-6,2.404E-9,7.022E-6
2.405E-9,19.94E-6,2.405E-9,7.096E-6
2.405E-9,12.17E-6,2.405E-9,7.069E-6
2.405E-9,11.90E-6,2.405E-9,881.9E-9
2.405E-9,11.50E-6,2.405E-9,740.7E-9
2.405E-9,10.74E-6,2.405E-9,517.5E-9
2.406E-9,9.417E-6,2.405E-9,116.9E-9
2.406E-9,8.270E-6,2.406E-9,480.4E-9
2.406E-9,7.307E-6,2.406E-9,945.0E-9
2.406E-9,6.403E-6,2.406E-9,1.265E-6
2.407E-9,5.522E-6,2.406E-9,1.411E-6
2.407E-9,4.778E-6,2.407E-9,1.514E-6
2.408E-9,4.022E-6,2.407E-9,1.526E-6
2.408E-9,3.272E-6,2.407E-9,1.497E-6
2.409E-9,2.651E-6,2.408E-9,1.419E-6
2.409E-9,2.098E-6,2.408E-9,1.318E-6
2.410E-9,1.626E-6,2.409E-9,1.206E-6
2.411E-9,1.233E-6,2.410E-9,1.106E-6
2.412E-9,900.2E-9,2.411E-9,1.004E-6
2.413E-9,624.7E-9,2.411E-9,937.6E-9
2.414E-9,396.7E-9,2.412E-9,883.4E-9
2.415E-9,209.1E-9,2.413E-9,838.1E-9
2.416E-9,55.69E-9,2.414E-9,803.8E-9
2.418E-9,69.47E-9,2.416E-9,777.8E-9
2.420E-9,171.4E-9,2.417E-9,758.2E-9
2.422E-9,254.6E-9,2.419E-9,743.2E-9
2.424E-9,322.5E-9,2.421E-9,731.5E-9
2.427E-9,378.1E-9,2.423E-9,722.0E-9
2.431E-9,423.4E-9,2.426E-9,714.0E-9
2.435E-9,460.2E-9,2.430E-9,706.9E-9
2.440E-9,489.7E-9,2.433E-9,700.5E-9
2.445E-9,512.9E-9,2.438E-9,694.2E-9
2.452E-9,530.8E-9,2.443E-9,687.9E-9
2.460E-9,542.0E-9,2.450E-9,681.3E-9
2.470E-9,552.9E-9,2.458E-9,674.2E-9
2.481E-9,557.6E-9,2.467E-9,666.5E-9
2.495E-9,557.4E-9,2.478E-9,655.0E-9
2.511E-9,558.2E-9,2.491E-9,648.5E-9
2.526E-9,553.3E-9,2.503E-9,639.8E-9
2.543E-9,550.2E-9,2.520E-9,626.6E-9
2.562E-9,542.5E-9,2.538E-9,617.7E-9
2.582E-9,537.3E-9,2.555E-9,606.2E-9
2.602E-9,528.2E-9,2.573E-9,598.0E-9
2.623E-9,522.1E-9,2.593E-9,585.8E-9
2.645E-9,512.4E-9,2.613E-9,577.5E-9
2.667E-9,506.2E-9,2.634E-9,565.7E-9
2.689E-9,496.5E-9,2.655E-9,557.6E-9
2.712E-9,490.4E-9,2.677E-9,546.1E-9
2.734E-9,480.9E-9,2.700E-9,538.7E-9
2.756E-9,475.1E-9,2.722E-9,527.7E-9
2.778E-9,465.8E-9,2.744E-9,520.9E-9
2.801E-9,460.3E-9,2.767E-9,510.4E-9
2.822E-9,451.2E-9,2.789E-9,504.2E-9
2.844E-9,446.0E-9,2.811E-9,494.1E-9
2.865E-9,437.0E-9,2.833E-9,488.3E-9
2.886E-9,432.2E-9,2.854E-9,478.5E-9
2.906E-9,423.1E-9,2.876E-9,473.3E-9
2.926E-9,418.7E-9,2.896E-9,463.6E-9
2.944E-9,409.4E-9,2.917E-9,458.9E-9
2.962E-9,405.4E-9,2.936E-9,449.2E-9
2.979E-9,395.7E-9,2.955E-9,444.9E-9
2.996E-9,392.0E-9,2.973E-9,434.9E-9
3.011E-9,381.7E-9,2.990E-9,431.1E-9
3.025E-9,378.2E-9,3.006E-9,420.5E-9
3.039E-9,367.6E-9,3.022E-9,417.1E-9
3.053E-9,364.1E-9,3.036E-9,406.1E-9
3.066E-9,353.4E-9,3.050E-9,402.8E-9
3.078E-9,349.8E-9,3.063E-9,391.6E-9
3.090E-9,339.0E-9,3.076E-9,388.4E-9
3.102E-9,335.3E-9,3.089E-9,376.9E-9
3.114E-9,324.5E-9,3.101E-9,373.7E-9
3.126E-9,320.5E-9,3.113E-9,362.2E-9
3.138E-9,309.6E-9,3.125E-9,358.8E-9
3.150E-9,305.4E-9,3.137E-9,347.2E-9
3.162E-9,294.4E-9,3.149E-9,343.5E-9
3.173E-9,289.8E-9,3.160E-9,332.0E-9
3.186E-9,278.7E-9,3.172E-9,327.9E-9
3.198E-9,273.7E-9,3.184E-9,316.2E-9
3.210E-9,262.4E-9,3.197E-9,311.8E-9
3.223E-9,256.0E-9,3.209E-9,300.0E-9
3.238E-9,246.1E-9,3.222E-9,295.1E-9
3.257E-9,234.2E-9,3.235E-9,283.3E-9
3.292E-9,212.3E-9,3.248E-9,276.8E-9
3.337E-9,186.7E-9,3.263E-9,266.4E-9
3.420E-9,144.1E-9,3.283E-9,254.1E-9
3.512E-9,107.7E-9,3.320E-9,231.5E-9
3.601E-9,81.75E-9,3.367E-9,204.7E-9
3.689E-9,63.54E-9,3.460E-9,160.7E-9
3.766E-9,52.46E-9,3.551E-9,127.4E-9
3.842E-9,44.77E-9,3.640E-9,103.9E-9
3.922E-9,39.19E-9,3.725E-9,88.33E-9
4.008E-9,35.06E-9,3.801E-9,78.52E-9
4.110E-9,32.01E-9,3.878E-9,71.54E-9
4.200E-9,30.34E-9,3.959E-9,66.40E-9
4.200E-9,51.20E-6,4.052E-9,62.55E-9
4.200E-9,51.81E-6,4.126E-9,60.48E-9
4.200E-9,51.26E-6,4.200E-9,59.05E-9
4.200E-9,51.38E-6,4.200E-9,51.78E-6
4.200E-9,51.35E-6,4.200E-9,51.63E-6
4.200E-9,51.31E-6,4.200E-9,52.25E-6
4.200E-9,51.34E-6,4.200E-9,52.06E-6
4.201E-9,52.34E-6,4.200E-9,52.13E-6
4.201E-9,56.15E-6,4.200E-9,52.37E-6
4.202E-9,62.55E-6,4.200E-9,53.27E-6
4.202E-9,68.37E-6,4.201E-9,57.72E-6
4.203E-9,71.91E-6,4.201E-9,67.50E-6
4.203E-9,73.67E-6,4.202E-9,79.09E-6
4.203E-9,74.56E-6,4.202E-9,87.61E-6
4.204E-9,75.06E-6,4.202E-9,92.65E-6
4.204E-9,75.39E-6,4.203E-9,95.92E-6
4.205E-9,75.63E-6,4.203E-9,99.82E-6
4.205E-9,75.80E-6,4.204E-9,102.6E-6
4.205E-9,59.85E-9,4.204E-9,105.7E-6
