vdd ,P_wr data3 0 temperature 0 ,P_wr data3 0 temperature 5 ,P_wr data3 0 temperature 10 ,P_wr data3 0 temperature 15 ,P_wr data3 0 temperature 20 ,P_wr data3 0 temperature 25 ,P_wr data3 0 temperature 30 ,P_wr data3 0 temperature 35 ,P_wr data3 0 temperature 40 ,P_wr data3 0 temperature 45 ,P_wr data3 0 temperature 50 ,P_wr data3 0 temperature 55 ,P_wr data3 0 temperature 60 ,P_wr data3 0 temperature 65 ,P_wr data3 0 temperature 70 ,P_wr data3 0 temperature 75 ,P_wr data3 1 temperature 0 ,P_wr data3 1 temperature 5 ,P_wr data3 1 temperature 10 ,P_wr data3 1 temperature 15 ,P_wr data3 1 temperature 20 ,P_wr data3 1 temperature 25 ,P_wr data3 1 temperature 30 ,P_wr data3 1 temperature 35 ,P_wr data3 1 temperature 40 ,P_wr data3 1 temperature 45 ,P_wr data3 1 temperature 50 ,P_wr data3 1 temperature 55 ,P_wr data3 1 temperature 60 ,P_wr data3 1 temperature 65 ,P_wr data3 1 temperature 70 ,P_wr data3 1 temperature 75 
900.0E-3,203.7E-15,203.7E-15,203.7E-15,203.7E-15,203.7E-15,203.7E-15,203.7E-15,203.7E-15,203.7E-15,203.7E-15,203.7E-15,203.8E-15,203.8E-15,203.8E-15,203.9E-15,203.9E-15,203.5E-15,203.4E-15,203.4E-15,203.5E-15,203.5E-15,203.5E-15,203.5E-15,203.6E-15,203.8E-15,203.8E-15,203.9E-15,203.9E-15,204.0E-15,204.1E-15,204.2E-15,204.3E-15
910.0E-3,208.3E-15,208.3E-15,208.3E-15,208.2E-15,208.2E-15,208.2E-15,208.2E-15,208.3E-15,208.3E-15,208.3E-15,208.3E-15,208.3E-15,208.4E-15,208.4E-15,208.5E-15,208.5E-15,208.0E-15,208.1E-15,208.1E-15,208.2E-15,208.2E-15,208.2E-15,208.2E-15,208.3E-15,208.3E-15,208.4E-15,208.5E-15,208.5E-15,208.6E-15,208.7E-15,208.8E-15,208.9E-15
920.0E-3,212.9E-15,212.9E-15,212.8E-15,212.8E-15,212.9E-15,212.9E-15,212.9E-15,212.9E-15,212.9E-15,212.9E-15,213.0E-15,213.0E-15,213.0E-15,213.1E-15,213.1E-15,213.2E-15,212.7E-15,212.7E-15,212.7E-15,212.8E-15,212.8E-15,212.8E-15,212.8E-15,212.9E-15,212.9E-15,213.0E-15,213.1E-15,213.1E-15,213.2E-15,213.3E-15,213.4E-15,213.6E-15
930.0E-3,217.6E-15,217.5E-15,217.5E-15,217.5E-15,217.5E-15,217.5E-15,217.5E-15,217.5E-15,217.6E-15,217.6E-15,217.6E-15,217.6E-15,217.7E-15,217.7E-15,217.8E-15,217.8E-15,217.4E-15,217.4E-15,217.4E-15,217.4E-15,217.4E-15,217.5E-15,217.5E-15,217.5E-15,217.6E-15,217.7E-15,217.7E-15,217.8E-15,217.9E-15,218.0E-15,218.1E-15,218.2E-15
940.0E-3,222.3E-15,222.2E-15,222.2E-15,222.2E-15,222.2E-15,222.2E-15,222.3E-15,222.3E-15,222.3E-15,222.3E-15,222.3E-15,222.4E-15,222.4E-15,222.5E-15,222.5E-15,222.6E-15,222.1E-15,222.1E-15,222.1E-15,222.1E-15,222.1E-15,222.2E-15,222.2E-15,222.3E-15,222.3E-15,222.4E-15,222.4E-15,222.5E-15,222.6E-15,222.7E-15,222.9E-15,223.0E-15
950.0E-3,227.0E-15,227.0E-15,227.0E-15,227.0E-15,227.0E-15,227.0E-15,227.0E-15,227.0E-15,227.0E-15,226.9E-15,226.9E-15,227.0E-15,227.0E-15,227.1E-15,227.2E-15,227.2E-15,226.8E-15,226.8E-15,226.8E-15,226.9E-15,226.9E-15,226.9E-15,227.0E-15,227.0E-15,227.1E-15,227.1E-15,227.2E-15,227.3E-15,227.4E-15,227.5E-15,227.6E-15,227.8E-15
960.0E-3,231.8E-15,231.8E-15,231.8E-15,231.8E-15,231.8E-15,231.8E-15,231.8E-15,231.8E-15,231.9E-15,231.9E-15,231.9E-15,232.0E-15,232.0E-15,232.1E-15,232.1E-15,232.2E-15,231.6E-15,231.6E-15,231.6E-15,231.7E-15,231.7E-15,231.7E-15,231.8E-15,231.8E-15,231.9E-15,231.9E-15,232.0E-15,232.1E-15,232.2E-15,232.3E-15,232.5E-15,232.6E-15
970.0E-3,236.7E-15,236.7E-15,236.7E-15,236.7E-15,236.7E-15,236.7E-15,236.7E-15,236.7E-15,236.7E-15,236.8E-15,236.8E-15,236.9E-15,236.9E-15,237.0E-15,237.0E-15,237.1E-15,236.4E-15,236.5E-15,236.5E-15,236.5E-15,236.5E-15,236.6E-15,236.6E-15,236.7E-15,236.7E-15,236.8E-15,236.9E-15,237.0E-15,237.1E-15,237.2E-15,237.3E-15,237.5E-15
980.0E-3,241.6E-15,241.6E-15,241.6E-15,241.6E-15,241.6E-15,241.6E-15,241.6E-15,241.6E-15,241.7E-15,241.7E-15,241.7E-15,241.8E-15,241.8E-15,241.9E-15,242.0E-15,242.0E-15,241.3E-15,241.4E-15,241.4E-15,241.4E-15,241.4E-15,241.5E-15,241.5E-15,241.6E-15,241.6E-15,241.7E-15,241.8E-15,241.9E-15,242.0E-15,242.1E-15,242.3E-15,242.4E-15
990.0E-3,246.4E-15,246.4E-15,246.4E-15,246.4E-15,246.5E-15,246.6E-15,246.6E-15,246.6E-15,246.6E-15,246.7E-15,246.7E-15,246.8E-15,246.8E-15,246.9E-15,246.9E-15,247.0E-15,246.3E-15,246.3E-15,246.3E-15,246.3E-15,246.4E-15,246.4E-15,246.5E-15,246.5E-15,246.6E-15,246.7E-15,246.8E-15,246.9E-15,247.0E-15,247.1E-15,247.3E-15,247.4E-15
1.000,251.5E-15,251.5E-15,251.5E-15,251.3E-15,251.5E-15,251.5E-15,251.6E-15,251.6E-15,251.6E-15,251.7E-15,251.7E-15,251.7E-15,251.8E-15,251.9E-15,251.8E-15,252.0E-15,251.3E-15,251.3E-15,251.3E-15,251.3E-15,251.4E-15,251.4E-15,251.5E-15,251.5E-15,251.6E-15,251.7E-15,251.8E-15,251.9E-15,252.0E-15,252.1E-15,252.3E-15,252.5E-15
1.010,256.5E-15,256.5E-15,256.4E-15,256.4E-15,256.4E-15,256.4E-15,256.5E-15,256.5E-15,256.7E-15,256.7E-15,256.8E-15,256.8E-15,256.9E-15,256.9E-15,257.0E-15,257.1E-15,256.3E-15,256.3E-15,256.4E-15,256.4E-15,256.4E-15,256.5E-15,256.5E-15,256.6E-15,256.7E-15,256.8E-15,256.9E-15,257.0E-15,257.1E-15,257.2E-15,257.4E-15,257.6E-15
1.020,261.7E-15,261.7E-15,261.7E-15,261.7E-15,261.7E-15,261.7E-15,261.7E-15,261.8E-15,261.8E-15,261.9E-15,261.9E-15,262.0E-15,262.0E-15,262.1E-15,262.2E-15,262.2E-15,261.4E-15,261.5E-15,261.5E-15,261.5E-15,261.5E-15,261.6E-15,261.6E-15,261.7E-15,261.8E-15,261.9E-15,262.0E-15,262.1E-15,262.2E-15,262.4E-15,262.5E-15,262.7E-15
1.030,266.8E-15,266.8E-15,266.8E-15,266.8E-15,266.8E-15,266.8E-15,266.9E-15,266.9E-15,267.0E-15,267.0E-15,267.0E-15,267.1E-15,267.2E-15,267.3E-15,267.3E-15,267.4E-15,266.6E-15,266.6E-15,266.6E-15,266.7E-15,266.7E-15,266.7E-15,266.8E-15,266.9E-15,267.0E-15,267.0E-15,267.1E-15,267.3E-15,267.4E-15,267.5E-15,267.7E-15,267.9E-15
1.040,271.8E-15,271.8E-15,271.8E-15,271.8E-15,271.9E-15,271.9E-15,272.1E-15,272.1E-15,272.1E-15,272.2E-15,272.2E-15,272.3E-15,272.4E-15,272.4E-15,272.5E-15,272.6E-15,271.8E-15,271.8E-15,271.8E-15,271.9E-15,271.9E-15,272.0E-15,272.0E-15,272.1E-15,272.2E-15,272.3E-15,272.4E-15,272.5E-15,272.6E-15,272.8E-15,273.0E-15,273.1E-15
1.050,277.2E-15,277.2E-15,277.2E-15,277.2E-15,277.3E-15,277.3E-15,277.3E-15,277.3E-15,277.4E-15,277.4E-15,277.4E-15,277.6E-15,277.6E-15,277.7E-15,277.8E-15,277.9E-15,277.0E-15,277.0E-15,277.1E-15,277.1E-15,277.2E-15,277.2E-15,277.3E-15,277.3E-15,277.4E-15,277.5E-15,277.6E-15,277.8E-15,277.9E-15,278.1E-15,278.2E-15,278.4E-15
1.060,282.6E-15,282.6E-15,282.6E-15,282.6E-15,282.6E-15,282.6E-15,282.7E-15,282.7E-15,282.7E-15,282.5E-15,282.6E-15,282.7E-15,282.8E-15,283.1E-15,283.2E-15,283.3E-15,282.3E-15,282.3E-15,282.4E-15,282.4E-15,282.5E-15,282.5E-15,282.6E-15,282.7E-15,282.7E-15,282.8E-15,283.0E-15,283.1E-15,283.2E-15,283.4E-15,283.5E-15,283.8E-15
1.070,287.9E-15,287.9E-15,287.9E-15,287.9E-15,287.9E-15,288.0E-15,288.0E-15,288.0E-15,288.1E-15,288.1E-15,288.2E-15,288.3E-15,288.4E-15,288.5E-15,288.6E-15,288.7E-15,287.7E-15,287.7E-15,287.7E-15,287.8E-15,287.8E-15,287.9E-15,287.9E-15,288.0E-15,288.1E-15,288.2E-15,288.3E-15,288.5E-15,288.6E-15,288.8E-15,289.0E-15,289.2E-15
1.080,293.3E-15,293.3E-15,293.3E-15,293.4E-15,293.4E-15,293.4E-15,293.4E-15,293.5E-15,293.5E-15,293.5E-15,293.6E-15,293.7E-15,293.7E-15,293.8E-15,293.9E-15,294.1E-15,293.1E-15,293.1E-15,293.1E-15,293.2E-15,293.2E-15,293.3E-15,293.4E-15,293.4E-15,293.5E-15,293.6E-15,293.8E-15,293.9E-15,294.1E-15,294.2E-15,294.4E-15,294.6E-15
1.090,298.8E-15,298.8E-15,298.8E-15,298.8E-15,298.8E-15,298.8E-15,298.8E-15,298.9E-15,298.8E-15,298.8E-15,298.9E-15,299.0E-15,299.3E-15,299.3E-15,299.5E-15,299.6E-15,298.5E-15,298.6E-15,298.6E-15,298.6E-15,298.7E-15,298.7E-15,298.8E-15,298.9E-15,299.0E-15,299.1E-15,299.2E-15,299.4E-15,299.5E-15,299.7E-15,299.9E-15,300.2E-15
1.100,304.1E-15,304.1E-15,304.1E-15,304.1E-15,304.1E-15,304.4E-15,304.4E-15,304.4E-15,304.5E-15,304.6E-15,304.6E-15,304.7E-15,304.8E-15,304.9E-15,305.0E-15,305.1E-15,304.0E-15,304.1E-15,304.1E-15,304.1E-15,304.2E-15,304.3E-15,304.3E-15,304.4E-15,304.5E-15,304.6E-15,304.8E-15,304.9E-15,305.1E-15,305.2E-15,305.4E-15,305.6E-15
